                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                  3.392,                 3.4879,                 1.1788,                 0.4658,                0.03846,                0.02037,                0.00407,                 4.1429,                 6.7559,                 1.1837,               0.007129,               0.007129,               0.007129
                     89,                 3.6627,                 3.6501,                 1.1686,                 0.4658,                0.03846,                0.02037,                0.00407,                 4.1429,                 6.7559,                 1.1837,               0.007096,               0.007096,               0.007096
                     90,                  3.537,                 3.6146,                  1.205,                0.30551,                0.03846,                0.01625,                0.00322,                 4.1103,                 7.6812,                 1.2242,               0.007063,               0.007063,               0.007063
                     91,                 3.2612,                 3.5531,                 1.2612,                0.29807,                0.03846,                 0.0158,                0.00325,                 3.9056,                 7.4174,                 1.2018,                0.00703,                0.00703,                0.00703
                     92,                 3.4667,                 3.5052,                  1.211,                0.10988,                0.07692,                0.03343,                0.00742,                 3.6789,                 6.6573,                 1.1566,               0.006997,               0.006997,               0.006997
                     93,                 3.3809,                 3.4101,                 1.2239,                0.10988,                0.07692,                0.03343,                0.00742,                 3.6789,                 6.6573,                 1.1566,               0.006964,               0.006964,               0.006964
                     94,                 3.3994,                 3.5134,                 1.1951,                0.14634,                0.07692,                 0.0303,                 0.0069,                 3.5696,                  6.044,                 1.1404,               0.006931,               0.006931,               0.006931
                     95,                 3.2823,                 3.2109,                 1.2045,                 0.4041,                0.03846,                0.02772,                0.00475,                 3.8091,                 5.5986,                 1.1717,               0.006898,               0.006898,               0.006898
                     96,                 3.2745,                 3.2762,                 1.2254,                0.24709,                0.03846,                0.01974,                0.00214,                 3.8147,                 5.9005,                 1.1293,               0.006865,               0.006865,               0.006865
                     97,                 3.3235,                 3.4857,                 1.2309,                0.24709,                0.03846,                0.01974,                0.00214,                 3.8147,                 5.9005,                 1.1293,               0.006832,               0.006832,               0.006832
                     98,                 3.4626,                 3.4133,                 1.1602,                0.24104,                0.03846,                 0.0179,                  0.002,                 3.6734,                  5.909,                 1.1276,               0.006799,               0.006799,               0.006799
                     99,                 3.3783,                 3.5569,                 1.1228,                0.23705,                0.03846,                0.01025,                 0.0012,                 3.6385,                 5.4675,                 1.1267,               0.006766,               0.006766,               0.006766
                    100,                 3.3838,                 3.3044,                 1.1674,                0.24241,                0.03846,                0.01264,                0.00139,                 3.7321,                 5.2899,                 1.1664,               0.006733,               0.006733,               0.006733
                    101,                 3.3616,                 3.4014,                 1.1502,                0.24241,                0.03846,                0.01264,                0.00139,                 3.7321,                 5.2899,                 1.1664,                 0.0067,                 0.0067,                 0.0067
                    102,                 3.7551,                 3.3332,                 1.1414,                0.26331,                0.03846,                0.01218,                 0.0013,                 3.6958,                 5.0826,                 1.2414,               0.006667,               0.006667,               0.006667
                    103,                  3.423,                 3.3865,                 1.1784,                0.23728,                0.03846,                0.01191,                0.00119,                 3.7719,                 5.0692,                 1.2845,               0.006634,               0.006634,               0.006634
                    104,                 3.5436,                 3.3221,                 1.1093,                0.13428,                0.03846,                0.01228,                0.00132,                 3.7475,                 4.8736,                 1.2037,               0.006601,               0.006601,               0.006601
                    105,                 3.5005,                 3.6789,                 1.1431,                0.13428,                0.03846,                0.01228,                0.00132,                 3.7475,                 4.8736,                 1.2037,               0.006568,               0.006568,               0.006568
                    106,                 3.2515,                 3.3827,                 1.1707,                0.00997,                0.03846,                0.01236,                0.00155,                 3.8224,                 4.7579,                 1.1448,               0.006535,               0.006535,               0.006535
                    107,                 3.4452,                 3.4748,                 1.1199,                0.00159,                0.11538,                0.00968,                0.00121,                 3.6471,                 4.6609,                 1.1179,               0.006502,               0.006502,               0.006502
                    108,                 3.2266,                 3.4971,                 1.1271,                0.00124,                0.07692,                 0.0123,                0.00135,                 3.6715,                 4.6869,                 1.1062,               0.006469,               0.006469,               0.006469
                    109,                 3.2215,                 3.4162,                 1.1999,                0.00124,                0.07692,                 0.0123,                0.00135,                 3.6715,                 4.6869,                 1.1062,               0.006436,               0.006436,               0.006436
                    110,                 3.1978,                 3.4005,                 1.1582,                0.00107,                0.03846,                0.00057,                  6e-05,                 3.6919,                 4.5375,                 1.1112,               0.006403,               0.006403,               0.006403
                    111,                  3.352,                 3.5485,                 1.1905,                 0.0011,                0.03846,                0.00059,                  6e-05,                 3.8976,                 4.4172,                 1.1458,                0.00637,                0.00637,                0.00637
                    112,                 3.5158,                 3.4393,                 1.1802,                0.24974,                0.03846,                0.03544,                0.00709,                 4.0027,                  4.366,                 1.1733,               0.006337,               0.006337,               0.006337
                    113,                 3.2986,                 3.2871,                 1.1939,                0.24974,                0.03846,                0.03544,                0.00709,                 4.0027,                  4.366,                 1.1733,               0.006304,               0.006304,               0.006304
                    114,                 3.1492,                 3.3094,                  1.174,                0.26115,                0.03846,                0.01916,                 0.0037,                 3.7722,                 4.4229,                 1.1595,               0.006271,               0.006271,               0.006271
                    115,                 3.4915,                 3.2664,                 1.1892,                0.00146,                0.11538,                0.00309,                0.00036,                 3.7075,                 4.6179,                 1.1747,               0.006238,               0.006238,               0.006238
                    116,                 3.3217,                 3.3675,                 1.2438,                0.00095,                0.07692,                0.00207,                0.00027,                  3.763,                 4.6729,                 1.1719,               0.006205,               0.006205,               0.006205
                    117,                 3.2294,                 3.2107,                 1.2034,                0.00095,                0.07692,                0.00207,                0.00027,                  3.763,                 4.6729,                 1.1719,               0.006172,               0.006172,               0.006172
                    118,                 3.2572,                 3.4235,                 1.1685,                0.00143,                0.11538,                0.00679,                0.00068,                 3.5938,                 4.4596,                 1.1235,               0.006139,               0.006139,               0.006139
                    119,                 3.4937,                 3.5477,                 1.1962,                0.00095,                0.07692,                0.00303,                0.00041,                 3.7574,                 4.2986,                 1.1273,               0.006106,               0.006106,               0.006106
                    120,                 3.3822,                  3.321,                 1.1997,                0.00149,                0.11538,                0.00108,                0.00022,                 3.9218,                  4.349,                 1.1465,               0.006073,               0.006073,               0.006073
                    121,                 3.2722,                 3.3266,                 1.1754,                0.00149,                0.11538,                0.00108,                0.00022,                 3.9218,                  4.349,                 1.1465,                0.00604,                0.00604,                0.00604
                    122,                 3.4215,                 3.4017,                 1.2401,                0.37607,                0.03846,                0.01903,                  0.002,                 3.9267,                  4.461,                 1.1567,               0.006007,               0.006007,               0.006007
                    123,                 3.4033,                 3.1619,                 1.1583,                0.00192,                0.15385,                0.00127,                0.00026,                 3.9781,                  4.382,                 1.1764,               0.005974,               0.005974,               0.005974
